## Chart-Ready Datasets (CSV)

- Use these CSV blocks directly for plotting if needed.

### Price Timeseries (221 rows shown of 221)

```csv
timestamp,price_usd,volume_24h_usd,market_cap_usd,rsi_14,macd,macd_signal,macd_histogram,sma_50,sma_200,ema_50,ema_200,volatility_24h
2026-01-27T09:03:38.785336+00:00,27.89,482932100,6649614205,92.98,1.08453002,0.9699516,0.11457842,23.82638901,22.4026953,24.56707305,22.44671311,0.69479944
2026-01-27T10:02:43.268819+00:00,27.56,492306502,6566826561,82.45,1.09701263,1.00519064,0.09182199,23.95201214,22.43530108,24.70218731,22.47963378,1.05281811
2026-01-27T11:02:38.981458+00:00,27.25,522522939,6501114249,74.65,1.03188533,1.00405071,0.02783461,24.04822067,22.46404125,24.79090024,22.50277993,1.25332182
2026-01-27T12:02:51.757543+00:00,27.72,526086854,6608160770,78.9,1.00445311,0.99713975,0.00731336,24.15698182,22.49493154,24.89296711,22.53202311,1.35136162
2026-01-27T13:02:44.162205+00:00,27.59,538691691,6580795587,76.13,1.00310834,1.00807396,-0.00496562,24.27923572,22.52887671,25.01735622,22.56777436,1.34257296
2026-01-27T14:00:30.813000+00:00,27.41398851,542806802.77999997,6542491472.90999985,,,,,,,,,
2026-01-27T14:03:45.730517+00:00,27.32,543162350,6515444594,69.89,0.92501712,0.98614031,-0.06112319,24.37475215,22.55735581,25.09523696,22.57491657,1.06730738
2026-01-27T15:00:12.027000+00:00,27.30918444,549303162.87,6504579424.52999973,,,,,,,,,
2026-01-27T15:02:40.659277+00:00,27.34,546879517,6510700106,69.91,0.82211751,0.93513529,-0.11301778,24.58029368,22.62120727,25.26695637,22.6518537,0.86067288
2026-01-27T16:03:34.409415+00:00,28,552011058,6671664061,76.37,0.78034404,0.87799899,-0.09765495,24.80744663,22.68658115,25.45219525,22.72125189,1.12130235
2026-01-27T17:02:39.285792+00:00,28.27,560346626,6755860543,77.78,0.8275876,0.88074412,-0.05315652,24.94170341,22.72422337,25.58593732,22.76392735,1.05264048
2026-01-27T18:01:46.111000+00:00,27.7154286,576045873.46000004,6613849854.63000011,,,,,,,,,
2026-01-27T18:10:25.170354+00:00,27.84,576015655,6613849855,67.18,0.72832729,0.83000549,-0.10167821,25.16028927,22.78740783,25.74492539,22.82316771,1.42055866
2026-01-27T19:00:22.029000+00:00,28.30706806,582727122.63999999,6748689924.77000046,,,,,,,,,
2026-01-27T19:13:29.282440+00:00,28.56,579577518,6786473280,72.94,0.76825495,0.81381506,-0.04556011,25.41867485,22.86089649,25.9700535,22.90143494,1.24506539
2026-01-27T20:02:55.111482+00:00,28.81,593086513,6877519209,75.1,0.80286709,0.8177164,-0.01484932,25.55199898,22.89963844,26.09379636,22.94287481,1.26243703
2026-01-27T21:13:41.400282+00:00,29.68,632613862,7087985761,80.39,0.88199181,0.83509603,0.04689578,25.70079798,22.94154334,26.24197422,22.9899879,1.04189804
2026-01-27T22:03:36.087227+00:00,29.79,633468274,7097923245,80.1,0.9714189,0.87936306,0.09205583,25.87029222,22.9871169,26.41125845,23.03988687,1.09595528
2026-01-27T23:03:31.723479+00:00,30.44,645897851,7219998566,83.68,1.04961373,0.91651495,0.13309878,26.03614168,23.03153156,26.57478756,23.08845486,1.14876402
2026-01-28T00:02:45.275988+00:00,30.79,668058689,7346943025,84.48,1.14854569,0.97562368,0.17292201,26.21871809,23.08032567,26.76280735,23.14189869,1.15949642
2026-01-28T01:03:33.152975+00:00,31.42,697188980,7487579469,86.91,1.25126378,1.03855689,0.21270688,26.40949383,23.13220877,26.95949027,23.19649307,1.13279575
2026-01-28T02:02:39.872954+00:00,32.68,746500551,7757160388,89.33,1.42931752,1.12979131,0.29952621,26.63136251,23.19169946,27.20724711,23.26305265,1.4884021
2026-01-28T03:01:32.913000+00:00,32.82596543,789845537.42999995,7827256584.90999985,,,,,,,,,
2026-01-28T03:03:36.157692+00:00,32.83,789988289,7827256585,89.66,1.59073922,1.24606582,0.3446734,26.86707666,23.25554993,27.47180844,23.33184553,1.44097488
2026-01-28T04:00:11.236000+00:00,33.60821991,802358640.32000005,8010917280.39999962,,,,,,,,,
2026-01-28T04:03:32.253750+00:00,33.55,802938402,8015711993,90.25,1.79956149,1.50202235,0.29753914,27.54082963,23.44379588,28.1673973,23.52111617,1.67978198
2026-01-28T05:04:26.280741+00:00,34.03,822035981,8111567555,91.04,1.83590879,1.568197,0.26771179,27.7703545,23.50882078,28.39563442,23.58686549,1.02534422
2026-01-28T06:01:47.256000+00:00,32.71547205,843092970.54999995,7801882917.25,,,,,,,,,
2026-01-28T06:06:19.793115+00:00,32.78,843365962,7801882917,71.97,1.60452334,1.58854613,0.0159772,28.11280419,23.62351055,28.69816061,23.68727134,2.12667723
2026-01-28T07:01:57.336000+00:00,33.66619417,855091797.92999995,8013276379.34000015,,,,,,,,,
2026-01-28T07:13:33.428982+00:00,33.63,856438791,8024212270,75.69,1.61960685,1.61673621,0.00287064,28.51925557,23.75719751,29.11513155,23.82696586,2.20461073
2026-01-28T08:03:36.668077+00:00,33.5,850500552,7979758001,73.59,1.55388462,1.60296287,-0.04907825,28.70607847,23.82055324,29.2838015,23.88831189,2.09887697
2026-01-28T09:01:01.703000+00:00,33.65030947,870811021.47000003,8015384353.15999985,,,,,,,,,
2026-01-28T09:13:37.715584+00:00,33.8,866852109,8065222422,75.51,1.46208024,1.5597085,-0.09762826,29.07909283,23.9499994,29.62891945,24.01721507,1.11933616
2026-01-28T10:02:05.380000+00:00,34.33582824,866253960.60000002,8193177350.89000034,,,,,,,,,
2026-01-28T10:13:28.688896+00:00,34.5,865993504,8227449863,77.34,1.47563905,1.54189535,-0.06625629,29.47390234,24.09097345,30.02671172,24.16139182,0.85662023
2026-01-28T11:10:17.782316+00:00,34.44,867000579,8212719540,76.35,1.44546131,1.52411778,-0.07865647,29.66624049,24.15824622,30.20551534,24.23038082,0.65462112
2026-01-28T12:08:40.717807+00:00,33.88,873587783,8087791623,68.22,1.34130019,1.48406445,-0.14276426,29.83329028,24.22107639,30.34296612,24.29012287,1.0550986
2026-01-28T13:10:18.228407+00:00,33.55,879898502,7998199029,63.66,1.20392767,1.41716143,-0.21323375,29.98806508,24.27913628,30.44998563,24.34424493,1.14833366
2026-01-28T14:08:36.334777+00:00,34.21,900395063,8157992065,69.04,1.15233289,1.36037185,-0.20803896,30.15708452,24.34189114,30.59140135,24.40909498,1.2248053
2026-01-28T15:02:33.200584+00:00,33.71,914256686,8041686740,62.33,1.08796537,1.31373522,-0.22576986,30.32264421,24.40759475,30.72916227,24.47188815,1.28096246
2026-01-28T16:01:08.616000+00:00,33.60233574,927895516.70000005,8009169758.28999996,,,,,,,,,
2026-01-28T16:14:13.679474+00:00,33.23,923191362,7942077546,56.14,0.85361749,1.15543772,-0.30182023,30.60646203,24.53000319,30.91148933,24.5826184,1.27102556
2026-01-28T17:07:55.556508+00:00,32.99,928789694,7873949345,54.2,0.72828958,1.06327417,-0.33498459,30.73796249,24.5903783,30.98199621,24.63712779,1.26408971
2026-01-28T18:04:33.965817+00:00,32.88,908867245,7849093910,52.86,0.61707472,0.97040336,-0.35332864,30.85610217,24.64930961,31.04926686,24.69401448,0.55401519
2026-01-28T19:13:34.018522+00:00,32.72,903316195,7802244388,50.86,0.51538624,0.87706996,-0.36168372,30.97241637,24.70783816,31.11072306,24.75143084,0.37503301
2026-01-28T20:03:30.188453+00:00,33.41,892475030,7966728275,58.14,0.48548969,0.79614927,-0.31065958,31.10111964,24.76530923,31.1967687,24.81508118,1.09379799
2026-01-28T21:01:39.368000+00:00,33.03993278,874201547.83000004,7889298791.23999977,,,,,,,,,
2026-01-28T21:13:36.610808+00:00,33.07,872949394,7874324086,53.65,0.3920202,0.6647486,-0.2727284,31.33759198,24.87910652,31.34834718,24.93069929,1.09721733
